Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Region,Product_ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2015-103800,03/01/2015,07/01/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,7,0.1,2.96064
2,CA-2015-112326,04/01/2015,08/01/2015,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,4,0,0.708
3,CA-2015-112326,04/01/2015,08/01/2015,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,8,0.2,43.63776
4,CA-2015-112326,04/01/2015,08/01/2015,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,5,0,2.3568
5,CA-2015-141817,05/01/2015,12/01/2015,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,7,0,3.9072
6,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96,10,0.2,120.9536
7,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,3,0.1,70.5564
8,CA-2015-130813,06/01/2015,08/01/2015,Second Class,LS-17230,Lycoris Saunders,Consumer,United States,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,7,0.1,3.4992
9,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2573.82,8,0.2,411.8112
10,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,5,0.2,1.0464
11,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,609.98,4,0.1,109.7964
12,CA-2015-106054,06/01/2015,07/01/2015,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,8,0,2.556
13,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,8,0.2,0.8768
14,CA-2015-167199,06/01/2015,10/01/2015,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,3,0,6.224
15,CA-2015-105417,07/01/2015,12/01/2015,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,6,0.2,1.6688
16,CA-2015-105417,07/01/2015,12/01/2015,Standard Class,VS-21820,Vivek Sundaresam,Consumer,United States,Huntsville,Texas,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,5,0.1,13.81104
17,CA-2015-135405,09/01/2015,13/01/2015,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,2,0,6.24
18,CA-2015-135405,09/01/2015,13/01/2015,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,8,0,1.8688
19,CA-2015-149020,10/01/2015,15/01/2015,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,6,0.2,8.3104
20,CA-2015-149020,10/01/2015,15/01/2015,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,2,0,0.578
21,CA-2015-130092,11/01/2015,14/01/2015,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,5,0.2,1.5904
22,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,1,0.1,2.0448
23,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,10,0,10.188
24,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,0.2,103.4784
25,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,9,0,1.128
26,CA-2015-162775,13/01/2015,15/01/2015,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,1,0.2,91.6128
27,CA-2015-118192,13/01/2015,18/01/2015,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.438,10,0.2,0.55008
28,CA-2015-118192,13/01/2015,18/01/2015,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.408,3,0.2,5.98528
29,CA-2015-109232,13/01/2015,16/01/2015,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,7,0.1,98.2692
30,CA-2015-157147,13/01/2015,18/01/2015,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,4,0,265.17
31,CA-2015-157147,13/01/2015,18/01/2015,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.9,9,0.1,3.582
32,CA-2015-157147,13/01/2015,18/01/2015,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.2,53.43984
33,CA-2015-149524,14/01/2015,15/01/2015,First Class,BS-11590,Brendan Sweed,Corporate,United States,Philadelphia,Pennsylvania,East,FUR-BO-10003433,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,5,0.2,9.9136
34,CA-2015-103366,15/01/2015,17/01/2015,First Class,EH-13990,Erica Hackney,Consumer,United States,Roswell,Georgia,South,TEC-AC-10003628,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,3,0.1,26.991
35,CA-2015-115791,16/01/2015,18/01/2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.072,7,0.1,5.41296
36,CA-2015-115791,16/01/2015,18/01/2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,18.588,5,0,3.7176
37,CA-2015-115791,16/01/2015,18/01/2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.104,9,0.2,20.33664
38,CA-2015-115791,16/01/2015,18/01/2015,Second Class,DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,East,TEC-PH-10004614,Technology,Phones,AT&T 841000 Phone,124.2,7,0.1,22.356
39,CA-2015-123477,18/01/2015,21/01/2015,Second Class,DW-13195,David Wiener,Corporate,United States,Springfield,Oregon,West,OFF-AP-10000692,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.864,2,0.2,10.37824
40,CA-2015-146591,19/01/2015,20/01/2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,4,0.2,5.1744
41,CA-2015-146591,19/01/2015,20/01/2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.064,9,0,11.2128
42,CA-2015-146591,19/01/2015,20/01/2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,2,0,21.744
43,CA-2015-146591,19/01/2015,20/01/2015,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,West,FUR-BO-10001972,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,10,0,36.294
44,US-2015-147627,20/01/2015,26/01/2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,699.93,9,0.1,125.9874
45,US-2015-147627,20/01/2015,26/01/2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,OFF-AR-10003811,Office Supplies,Art,Newell 327,6.63,10,0.2,1.0608
46,US-2015-147627,20/01/2015,26/01/2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,OFF-AR-10002375,Office Supplies,Art,Newell 351,22.96,5,0.1,4.1328
47,CA-2015-167927,20/01/2015,26/01/2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,2,0.1,2.5164
48,US-2015-147627,20/01/2015,26/01/2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,0,7.72
49,US-2015-147627,20/01/2015,26/01/2015,Standard Class,HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,South,FUR-CH-10002331,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,7,0.2,170.8704
50,CA-2015-167927,20/01/2015,26/01/2015,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,Central,FUR-FU-10002918,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,8,0.2,43.6704
